"","nhtemp","wusa","jasper","westgreen","chesapeake","tornetrask","urals","mongolia","tasman","year"
"1301",NA,0.15,0.11,0.18,-1.04,-0.95,0.26,-1.02,0.09,1301
"1302",NA,0.19,0.21,0.26,-0.92,-0.76,0.27,-0.9,0.23,1302
"1303",NA,0.21,0.31,0.33,-0.77,-0.55,0.28,-0.74,0.39,1303
"1304",NA,0.22,0.4,0.39,-0.6,-0.35,0.29,-0.55,0.54,1304
"1305",NA,0.23,0.48,0.43,-0.44,-0.16,0.3,-0.36,0.68,1305
"1306",NA,0.25,0.54,0.44,-0.3,-0.01,0.31,-0.17,0.8,1306
"1307",NA,0.26,0.58,0.43,-0.21,0.08,0.31,0,0.89,1307
"1308",NA,0.28,0.6,0.38,-0.18,0.11,0.32,0.14,0.93,1308
"1309",NA,0.31,0.6,0.3,-0.2,0.08,0.32,0.25,0.93,1309
"1310",NA,0.34,0.58,0.2,-0.26,0.02,0.31,0.34,0.89,1310
"1311",NA,0.38,0.54,0.09,-0.34,-0.08,0.31,0.39,0.82,1311
"1312",NA,0.41,0.49,-0.02,-0.42,-0.19,0.3,0.43,0.71,1312
"1313",NA,0.44,0.42,-0.13,-0.5,-0.3,0.29,0.44,0.57,1313
"1314",NA,0.47,0.33,-0.22,-0.55,-0.39,0.28,0.44,0.41,1314
"1315",NA,0.49,0.24,-0.29,-0.57,-0.45,0.27,0.42,0.22,1315
"1316",NA,0.51,0.13,-0.34,-0.56,-0.49,0.26,0.39,0.02,1316
"1317",NA,0.53,0.03,-0.38,-0.54,-0.5,0.24,0.36,-0.18,1317
"1318",NA,0.56,-0.07,-0.41,-0.52,-0.48,0.23,0.34,-0.36,1318
"1319",NA,0.6,-0.16,-0.42,-0.52,-0.45,0.21,0.33,-0.5,1319
"1320",NA,0.67,-0.23,-0.43,-0.54,-0.4,0.19,0.34,-0.6,1320
"1321",NA,0.76,-0.28,-0.44,-0.6,-0.33,0.16,0.39,-0.64,1321
"1322",NA,0.88,-0.3,-0.45,-0.71,-0.25,0.14,0.47,-0.61,1322
"1323",NA,1.02,-0.3,-0.46,-0.85,-0.17,0.11,0.57,-0.52,1323
"1324",NA,1.15,-0.29,-0.47,-1,-0.09,0.08,0.68,-0.38,1324
"1325",NA,1.27,-0.26,-0.47,-1.13,-0.03,0.05,0.79,-0.21,1325
"1326",NA,1.36,-0.22,-0.47,-1.23,0,0.02,0.88,-0.01,1326
"1327",NA,1.41,-0.17,-0.46,-1.27,0,-0.01,0.93,0.19,1327
"1328",NA,1.38,-0.13,-0.44,-1.23,-0.05,-0.04,0.93,0.38,1328
"1329",NA,1.29,-0.09,-0.42,-1.1,-0.15,-0.07,0.87,0.56,1329
"1330",NA,1.14,-0.05,-0.39,-0.89,-0.3,-0.1,0.77,0.71,1330
"1331",NA,0.93,-0.02,-0.35,-0.63,-0.46,-0.12,0.64,0.83,1331
"1332",NA,0.7,0,-0.3,-0.37,-0.63,-0.14,0.48,0.92,1332
"1333",NA,0.46,0.02,-0.24,-0.12,-0.79,-0.16,0.33,0.98,1333
"1334",NA,0.21,0.03,-0.18,0.08,-0.92,-0.17,0.19,1,1334
"1335",NA,-0.01,0.04,-0.11,0.2,-1,-0.19,0.09,0.98,1335
"1336",NA,-0.21,0.03,-0.04,0.22,-1.03,-0.2,0.02,0.92,1336
"1337",NA,-0.37,0.02,0.03,0.15,-1.02,-0.21,-0.01,0.82,1337
"1338",NA,-0.5,0.01,0.1,0,-0.97,-0.21,-0.02,0.69,1338
"1339",NA,-0.6,0,0.15,-0.21,-0.92,-0.22,-0.01,0.54,1339
"1340",NA,-0.68,-0.01,0.19,-0.45,-0.86,-0.21,-0.01,0.36,1340
"1341",NA,-0.73,-0.01,0.2,-0.72,-0.83,-0.21,-0.01,0.18,1341
"1342",NA,-0.76,0,0.18,-0.99,-0.83,-0.2,-0.03,-0.01,1342
"1343",NA,-0.77,0.01,0.13,-1.26,-0.88,-0.18,-0.09,-0.2,1343
"1344",NA,-0.77,0.04,0.05,-1.51,-0.96,-0.17,-0.16,-0.38,1344
"1345",NA,-0.75,0.07,-0.05,-1.73,-1.06,-0.14,-0.25,-0.54,1345
"1346",NA,-0.72,0.11,-0.16,-1.92,-1.15,-0.12,-0.34,-0.66,1346
"1347",NA,-0.67,0.15,-0.27,-2.07,-1.21,-0.09,-0.42,-0.74,1347
"1348",NA,-0.62,0.19,-0.37,-2.17,-1.24,-0.06,-0.48,-0.76,1348
"1349",NA,-0.56,0.23,-0.47,-2.22,-1.2,-0.02,-0.52,-0.71,1349
"1350",NA,-0.5,0.27,-0.54,-2.22,-1.08,0.01,-0.52,-0.6,1350
"1351",NA,-0.44,0.31,-0.6,-2.15,-0.9,0.05,-0.49,-0.42,1351
"1352",NA,-0.39,0.34,-0.63,-2.04,-0.68,0.09,-0.43,-0.21,1352
"1353",NA,-0.35,0.37,-0.66,-1.9,-0.43,0.13,-0.35,0.01,1353
"1354",NA,-0.33,0.39,-0.68,-1.72,-0.17,0.18,-0.26,0.22,1354
"1355",NA,-0.34,0.41,-0.69,-1.52,0.08,0.22,-0.16,0.4,1355
"1356",NA,-0.39,0.43,-0.7,-1.3,0.3,0.25,-0.05,0.53,1356
"1357",NA,-0.47,0.44,-0.71,-1.07,0.47,0.29,0.06,0.59,1357
"1358",NA,-0.57,0.45,-0.71,-0.84,0.61,0.33,0.17,0.59,1358
"1359",NA,-0.69,0.45,-0.7,-0.62,0.71,0.36,0.26,0.55,1359
"1360",NA,-0.79,0.46,-0.68,-0.41,0.77,0.39,0.35,0.49,1360
"1361",NA,-0.88,0.46,-0.64,-0.23,0.8,0.41,0.42,0.41,1361
"1362",NA,-0.93,0.46,-0.58,-0.09,0.8,0.44,0.48,0.35,1362
"1363",NA,-0.92,0.47,-0.49,0.02,0.78,0.46,0.51,0.3,1363
"1364",NA,-0.85,0.47,-0.37,0.07,0.75,0.47,0.52,0.29,1364
"1365",NA,-0.73,0.48,-0.24,0.09,0.69,0.49,0.52,0.31,1365
"1366",NA,-0.57,0.49,-0.1,0.07,0.62,0.5,0.5,0.35,1366
"1367",NA,-0.41,0.49,0.01,0.03,0.54,0.5,0.48,0.39,1367
"1368",NA,-0.25,0.49,0.1,-0.02,0.45,0.51,0.45,0.43,1368
"1369",NA,-0.13,0.48,0.14,-0.08,0.36,0.51,0.43,0.44,1369
"1370",NA,-0.05,0.46,0.12,-0.13,0.26,0.51,0.42,0.43,1370
"1371",NA,-0.04,0.42,0.02,-0.17,0.17,0.51,0.42,0.37,1371
"1372",NA,-0.07,0.38,-0.14,-0.19,0.08,0.51,0.43,0.29,1372
"1373",NA,-0.14,0.33,-0.34,-0.21,0,0.51,0.46,0.18,1373
"1374",NA,-0.22,0.29,-0.55,-0.21,-0.08,0.51,0.49,0.06,1374
"1375",NA,-0.31,0.25,-0.76,-0.2,-0.14,0.5,0.53,-0.05,1375
"1376",NA,-0.37,0.21,-0.94,-0.18,-0.19,0.5,0.58,-0.16,1376
"1377",NA,-0.4,0.19,-1.08,-0.16,-0.22,0.5,0.63,-0.24,1377
"1378",NA,-0.38,0.19,-1.16,-0.14,-0.24,0.49,0.67,-0.28,1378
"1379",NA,-0.32,0.2,-1.18,-0.11,-0.24,0.49,0.72,-0.3,1379
"1380",NA,-0.22,0.22,-1.15,-0.08,-0.22,0.49,0.76,-0.28,1380
"1381",NA,-0.1,0.25,-1.07,-0.04,-0.2,0.49,0.8,-0.24,1381
"1382",NA,0.04,0.28,-0.95,0,-0.17,0.48,0.83,-0.17,1382
"1383",NA,0.19,0.31,-0.8,0.04,-0.13,0.48,0.85,-0.08,1383
"1384",NA,0.34,0.33,-0.62,0.08,-0.1,0.47,0.86,0.04,1384
"1385",NA,0.48,0.35,-0.43,0.12,-0.07,0.46,0.86,0.17,1385
"1386",NA,0.6,0.36,-0.22,0.16,-0.04,0.46,0.85,0.32,1386
"1387",NA,0.7,0.37,-0.02,0.19,-0.03,0.45,0.83,0.47,1387
"1388",NA,0.78,0.39,0.18,0.22,-0.02,0.44,0.81,0.6,1388
"1389",NA,0.82,0.41,0.36,0.25,-0.02,0.42,0.78,0.73,1389
"1390",NA,0.82,0.43,0.51,0.27,-0.03,0.41,0.75,0.82,1390
"1391",NA,0.79,0.47,0.63,0.28,-0.06,0.39,0.71,0.88,1391
"1392",NA,0.7,0.52,0.71,0.28,-0.1,0.38,0.67,0.89,1392
"1393",NA,0.59,0.57,0.75,0.27,-0.16,0.36,0.64,0.87,1393
"1394",NA,0.45,0.64,0.76,0.26,-0.21,0.34,0.61,0.81,1394
"1395",NA,0.32,0.7,0.73,0.24,-0.25,0.32,0.58,0.73,1395
"1396",NA,0.19,0.76,0.69,0.22,-0.28,0.29,0.55,0.64,1396
"1397",NA,0.09,0.81,0.62,0.21,-0.27,0.27,0.54,0.55,1397
"1398",NA,0.03,0.85,0.54,0.2,-0.24,0.24,0.53,0.45,1398
"1399",NA,0.02,0.87,0.44,0.2,-0.16,0.21,0.53,0.37,1399
"1400",NA,0.05,0.87,0.35,0.2,-0.05,0.18,0.54,0.3,1400
"1401",NA,0.12,0.86,0.26,0.21,0.09,0.15,0.56,0.24,1401
"1402",NA,0.22,0.84,0.18,0.22,0.24,0.12,0.59,0.19,1402
"1403",NA,0.32,0.8,0.12,0.23,0.39,0.08,0.64,0.15,1403
"1404",NA,0.43,0.75,0.09,0.25,0.54,0.05,0.69,0.12,1404
"1405",NA,0.52,0.7,0.1,0.26,0.67,0.02,0.76,0.11,1405
"1406",NA,0.6,0.64,0.15,0.27,0.78,-0.02,0.83,0.11,1406
"1407",NA,0.66,0.58,0.23,0.27,0.86,-0.05,0.91,0.13,1407
"1408",NA,0.7,0.51,0.32,0.27,0.93,-0.08,0.98,0.15,1408
"1409",NA,0.73,0.44,0.43,0.25,0.96,-0.11,1.04,0.18,1409
"1410",NA,0.75,0.37,0.53,0.21,0.98,-0.14,1.07,0.22,1410
"1411",NA,0.77,0.3,0.61,0.16,0.98,-0.18,1.07,0.26,1411
"1412",NA,0.78,0.24,0.66,0.08,0.95,-0.21,1.02,0.31,1412
"1413",NA,0.79,0.18,0.67,-0.03,0.91,-0.23,0.93,0.36,1413
"1414",NA,0.8,0.13,0.65,-0.15,0.85,-0.26,0.8,0.41,1414
"1415",NA,0.81,0.08,0.59,-0.28,0.79,-0.29,0.65,0.45,1415
"1416",NA,0.82,0.05,0.52,-0.39,0.73,-0.31,0.52,0.49,1416
"1417",NA,0.83,0.02,0.44,-0.48,0.67,-0.34,0.4,0.51,1417
"1418",NA,0.85,0.01,0.35,-0.54,0.62,-0.36,0.34,0.52,1418
"1419",NA,0.88,0.01,0.26,-0.54,0.59,-0.38,0.34,0.51,1419
"1420",NA,0.91,0.03,0.18,-0.49,0.58,-0.4,0.41,0.47,1420
"1421",NA,0.94,0.06,0.11,-0.39,0.59,-0.42,0.55,0.42,1421
"1422",NA,0.97,0.09,0.05,-0.26,0.61,-0.44,0.74,0.37,1422
"1423",NA,1,0.14,0,-0.11,0.64,-0.45,0.95,0.32,1423
"1424",NA,1.02,0.2,-0.04,0.05,0.66,-0.47,1.16,0.28,1424
"1425",NA,1.02,0.27,-0.08,0.2,0.68,-0.48,1.36,0.25,1425
"1426",NA,1.02,0.34,-0.11,0.32,0.69,-0.49,1.52,0.25,1426
"1427",NA,0.99,0.41,-0.14,0.41,0.69,-0.51,1.63,0.29,1427
"1428",NA,0.95,0.48,-0.16,0.46,0.67,-0.52,1.69,0.35,1428
"1429",NA,0.9,0.55,-0.17,0.47,0.65,-0.53,1.7,0.42,1429
"1430",NA,0.82,0.61,-0.18,0.45,0.63,-0.54,1.69,0.5,1430
"1431",NA,0.74,0.66,-0.18,0.38,0.63,-0.54,1.64,0.58,1431
"1432",NA,0.64,0.68,-0.17,0.27,0.63,-0.55,1.58,0.64,1432
"1433",NA,0.54,0.68,-0.16,0.11,0.67,-0.55,1.51,0.68,1433
"1434",NA,0.42,0.66,-0.13,-0.08,0.72,-0.55,1.44,0.69,1434
"1435",NA,0.3,0.61,-0.1,-0.3,0.8,-0.55,1.37,0.67,1435
"1436",NA,0.18,0.54,-0.06,-0.53,0.89,-0.55,1.3,0.62,1436
"1437",NA,0.05,0.46,-0.02,-0.75,0.97,-0.54,1.24,0.55,1437
"1438",NA,-0.07,0.37,0.01,-0.94,1.04,-0.53,1.19,0.46,1438
"1439",NA,-0.18,0.27,0.04,-1.1,1.09,-0.53,1.15,0.35,1439
"1440",NA,-0.28,0.16,0.06,-1.19,1.11,-0.52,1.12,0.22,1440
"1441",NA,-0.37,0.06,0.07,-1.21,1.09,-0.51,1.11,0.08,1441
"1442",NA,-0.44,-0.03,0.08,-1.18,1.03,-0.49,1.11,-0.07,1442
"1443",NA,-0.5,-0.12,0.08,-1.1,0.93,-0.48,1.11,-0.21,1443
"1444",NA,-0.54,-0.2,0.08,-1,0.81,-0.46,1.1,-0.34,1444
"1445",NA,-0.57,-0.26,0.1,-0.9,0.67,-0.45,1.08,-0.45,1445
"1446",NA,-0.59,-0.31,0.14,-0.81,0.5,-0.43,1.05,-0.53,1446
"1447",NA,-0.59,-0.34,0.19,-0.75,0.33,-0.41,0.98,-0.58,1447
"1448",NA,-0.58,-0.35,0.27,-0.74,0.15,-0.39,0.88,-0.59,1448
"1449",NA,-0.56,-0.34,0.37,-0.78,-0.04,-0.36,0.76,-0.57,1449
"1450",NA,-0.54,-0.32,0.48,-0.85,-0.21,-0.33,0.61,-0.52,1450
"1451",NA,-0.52,-0.29,0.58,-0.95,-0.38,-0.3,0.46,-0.47,1451
"1452",NA,-0.51,-0.27,0.67,-1.06,-0.53,-0.27,0.3,-0.4,1452
"1453",NA,-0.52,-0.25,0.74,-1.19,-0.66,-0.23,0.14,-0.35,1453
"1454",NA,-0.55,-0.24,0.78,-1.32,-0.76,-0.18,0,-0.31,1454
"1455",NA,-0.6,-0.24,0.78,-1.45,-0.83,-0.14,-0.12,-0.29,1455
"1456",NA,-0.68,-0.26,0.75,-1.57,-0.87,-0.09,-0.23,-0.29,1456
"1457",NA,-0.76,-0.28,0.69,-1.68,-0.88,-0.03,-0.31,-0.3,1457
"1458",NA,-0.85,-0.31,0.62,-1.76,-0.86,0.03,-0.38,-0.32,1458
"1459",NA,-0.93,-0.34,0.53,-1.82,-0.83,0.08,-0.44,-0.34,1459
"1460",NA,-1,-0.37,0.45,-1.85,-0.79,0.14,-0.48,-0.34,1460
"1461",NA,-1.05,-0.4,0.37,-1.84,-0.73,0.2,-0.51,-0.33,1461
"1462",NA,-1.07,-0.42,0.31,-1.8,-0.66,0.26,-0.52,-0.3,1462
"1463",NA,-1.06,-0.44,0.27,-1.72,-0.59,0.31,-0.53,-0.25,1463
"1464",NA,-1.04,-0.45,0.23,-1.61,-0.51,0.36,-0.53,-0.19,1464
"1465",NA,-1.02,-0.45,0.2,-1.48,-0.42,0.41,-0.53,-0.13,1465
"1466",NA,-0.99,-0.44,0.17,-1.34,-0.32,0.45,-0.52,-0.06,1466
"1467",NA,-0.96,-0.43,0.13,-1.18,-0.21,0.49,-0.52,0.01,1467
"1468",NA,-0.95,-0.41,0.09,-1.02,-0.09,0.53,-0.53,0.06,1468
"1469",NA,-0.96,-0.38,0.04,-0.86,0.03,0.55,-0.54,0.1,1469
"1470",NA,-0.97,-0.35,-0.02,-0.72,0.16,0.58,-0.56,0.14,1470
"1471",NA,-0.99,-0.31,-0.09,-0.59,0.28,0.59,-0.57,0.16,1471
"1472",NA,-1.01,-0.28,-0.15,-0.49,0.37,0.6,-0.58,0.19,1472
"1473",NA,-1,-0.23,-0.22,-0.43,0.45,0.6,-0.57,0.21,1473
"1474",NA,-0.98,-0.19,-0.28,-0.41,0.48,0.6,-0.54,0.25,1474
"1475",NA,-0.92,-0.15,-0.34,-0.46,0.47,0.59,-0.49,0.3,1475
"1476",NA,-0.83,-0.1,-0.39,-0.56,0.4,0.58,-0.42,0.37,1476
"1477",NA,-0.7,-0.06,-0.43,-0.72,0.3,0.56,-0.31,0.45,1477
"1478",NA,-0.55,-0.02,-0.46,-0.91,0.18,0.54,-0.19,0.54,1478
"1479",NA,-0.39,0.01,-0.47,-1.13,0.06,0.52,-0.06,0.63,1479
"1480",NA,-0.22,0.04,-0.48,-1.35,-0.06,0.49,0.08,0.73,1480
"1481",NA,-0.05,0.06,-0.47,-1.56,-0.14,0.47,0.23,0.82,1481
"1482",NA,0.1,0.07,-0.45,-1.75,-0.18,0.44,0.37,0.9,1482
"1483",NA,0.23,0.07,-0.41,-1.89,-0.15,0.42,0.51,0.97,1483
"1484",NA,0.33,0.06,-0.36,-2,-0.08,0.39,0.63,1.02,1484
"1485",NA,0.4,0.04,-0.3,-2.06,0.03,0.37,0.73,1.06,1485
"1486",NA,0.43,0.01,-0.24,-2.07,0.16,0.34,0.81,1.09,1486
"1487",NA,0.43,-0.03,-0.17,-2.03,0.3,0.32,0.85,1.1,1487
"1488",NA,0.38,-0.08,-0.09,-1.94,0.44,0.3,0.86,1.08,1488
"1489",NA,0.28,-0.15,-0.01,-1.78,0.55,0.28,0.82,1.05,1489
"1490",NA,0.13,-0.22,0.07,-1.57,0.64,0.27,0.74,1,1490
"1491",NA,-0.05,-0.3,0.14,-1.31,0.69,0.25,0.61,0.93,1491
"1492",NA,-0.26,-0.37,0.21,-1.03,0.72,0.24,0.47,0.85,1492
"1493",NA,-0.47,-0.44,0.27,-0.75,0.73,0.23,0.31,0.76,1493
"1494",NA,-0.67,-0.49,0.32,-0.48,0.72,0.21,0.16,0.65,1494
"1495",NA,-0.84,-0.53,0.35,-0.24,0.71,0.2,0.02,0.55,1495
"1496",NA,-0.96,-0.54,0.37,-0.05,0.69,0.19,-0.09,0.44,1496
"1497",NA,-1.03,-0.51,0.36,0.07,0.67,0.18,-0.15,0.34,1497
"1498",NA,-1.04,-0.47,0.34,0.13,0.65,0.16,-0.18,0.24,1498
"1499",NA,-1.02,-0.4,0.31,0.13,0.62,0.15,-0.18,0.15,1499
"1500",NA,-0.96,-0.32,0.28,0.09,0.6,0.14,-0.15,0.08,1500
"1501",NA,-0.87,-0.23,0.25,0,0.57,0.12,-0.1,0.02,1501
"1502",NA,-0.77,-0.13,0.23,-0.11,0.53,0.1,-0.04,-0.02,1502
"1503",NA,-0.66,-0.04,0.23,-0.25,0.49,0.09,0.02,-0.03,1503
"1504",NA,-0.55,0.04,0.25,-0.4,0.45,0.07,0.09,-0.02,1504
"1505",NA,-0.44,0.11,0.29,-0.56,0.4,0.05,0.14,0.02,1505
"1506",NA,-0.34,0.17,0.34,-0.72,0.35,0.03,0.19,0.06,1506
"1507",NA,-0.25,0.22,0.39,-0.87,0.3,0,0.23,0.11,1507
"1508",NA,-0.16,0.26,0.43,-1,0.25,-0.02,0.24,0.15,1508
"1509",NA,-0.08,0.28,0.46,-1.11,0.2,-0.05,0.24,0.18,1509
"1510",NA,-0.01,0.3,0.46,-1.18,0.16,-0.07,0.2,0.19,1510
"1511",NA,0.06,0.3,0.44,-1.22,0.12,-0.1,0.14,0.16,1511
"1512",NA,0.11,0.29,0.39,-1.23,0.09,-0.13,0.05,0.12,1512
"1513",NA,0.15,0.28,0.32,-1.22,0.06,-0.17,-0.05,0.05,1513
"1514",NA,0.18,0.26,0.24,-1.2,0.02,-0.2,-0.14,-0.03,1514
"1515",NA,0.2,0.23,0.15,-1.19,-0.01,-0.24,-0.23,-0.11,1515
"1516",NA,0.21,0.21,0.05,-1.21,-0.06,-0.28,-0.3,-0.18,1516
"1517",NA,0.21,0.18,-0.04,-1.25,-0.12,-0.33,-0.33,-0.25,1517
"1518",NA,0.2,0.16,-0.13,-1.33,-0.19,-0.37,-0.33,-0.31,1518
"1519",NA,0.18,0.14,-0.21,-1.43,-0.27,-0.42,-0.29,-0.34,1519
"1520",NA,0.16,0.14,-0.28,-1.54,-0.36,-0.48,-0.22,-0.36,1520
"1521",NA,0.14,0.14,-0.32,-1.64,-0.46,-0.53,-0.14,-0.36,1521
"1522",NA,0.12,0.15,-0.34,-1.7,-0.56,-0.58,-0.04,-0.34,1522
"1523",NA,0.11,0.17,-0.33,-1.71,-0.67,-0.64,0.06,-0.3,1523
"1524",NA,0.11,0.21,-0.29,-1.65,-0.77,-0.69,0.15,-0.24,1524
"1525",NA,0.12,0.27,-0.21,-1.5,-0.88,-0.75,0.24,-0.16,1525
"1526",NA,0.15,0.33,-0.1,-1.29,-0.97,-0.8,0.31,-0.07,1526
"1527",NA,0.18,0.39,0.03,-1.03,-1.05,-0.85,0.38,0.03,1527
"1528",NA,0.21,0.45,0.16,-0.75,-1.09,-0.9,0.44,0.12,1528
"1529",NA,0.25,0.5,0.28,-0.48,-1.1,-0.94,0.49,0.21,1529
"1530",NA,0.28,0.52,0.38,-0.23,-1.07,-0.98,0.55,0.27,1530
"1531",NA,0.31,0.51,0.44,-0.03,-0.98,-1.02,0.6,0.31,1531
"1532",NA,0.32,0.47,0.47,0.1,-0.83,-1.05,0.66,0.32,1532
"1533",NA,0.33,0.4,0.46,0.17,-0.64,-1.08,0.72,0.29,1533
"1534",NA,0.32,0.31,0.41,0.19,-0.43,-1.1,0.77,0.26,1534
"1535",NA,0.28,0.21,0.34,0.18,-0.22,-1.12,0.82,0.21,1535
"1536",NA,0.23,0.11,0.25,0.15,-0.03,-1.14,0.86,0.17,1536
"1537",NA,0.15,0.03,0.15,0.12,0.13,-1.15,0.89,0.13,1537
"1538",NA,0.05,-0.04,0.03,0.1,0.22,-1.16,0.9,0.11,1538
"1539",NA,-0.09,-0.08,-0.08,0.11,0.24,-1.16,0.89,0.12,1539
"1540",NA,-0.24,-0.09,-0.19,0.13,0.2,-1.16,0.87,0.16,1540
"1541",NA,-0.39,-0.09,-0.29,0.16,0.12,-1.16,0.83,0.2,1541
"1542",NA,-0.54,-0.06,-0.35,0.2,0.02,-1.15,0.78,0.26,1542
"1543",NA,-0.65,-0.03,-0.39,0.25,-0.08,-1.14,0.72,0.33,1543
"1544",NA,-0.72,0.02,-0.38,0.29,-0.16,-1.12,0.66,0.39,1544
"1545",NA,-0.74,0.07,-0.32,0.32,-0.2,-1.1,0.58,0.45,1545
"1546",NA,-0.69,0.12,-0.21,0.33,-0.19,-1.08,0.51,0.5,1546
"1547",NA,-0.59,0.17,-0.05,0.34,-0.14,-1.06,0.43,0.53,1547
"1548",NA,-0.45,0.22,0.12,0.34,-0.05,-1.03,0.35,0.55,1548
"1549",NA,-0.29,0.27,0.31,0.32,0.04,-1.01,0.27,0.55,1549
"1550",NA,-0.12,0.3,0.47,0.31,0.14,-0.98,0.2,0.53,1550
"1551",NA,0.04,0.33,0.61,0.29,0.22,-0.95,0.13,0.49,1551
"1552",NA,0.17,0.34,0.69,0.26,0.27,-0.92,0.06,0.43,1552
"1553",NA,0.26,0.34,0.7,0.24,0.28,-0.89,0,0.35,1553
"1554",NA,0.31,0.33,0.65,0.23,0.26,-0.86,-0.05,0.25,1554
"1555",NA,0.34,0.32,0.56,0.22,0.22,-0.82,-0.09,0.14,1555
"1556",NA,0.34,0.3,0.43,0.21,0.17,-0.79,-0.11,0.04,1556
"1557",NA,0.33,0.29,0.27,0.22,0.12,-0.76,-0.11,-0.05,1557
"1558",NA,0.32,0.28,0.11,0.23,0.09,-0.73,-0.08,-0.12,1558
"1559",NA,0.31,0.27,-0.05,0.26,0.1,-0.7,-0.03,-0.15,1559
"1560",NA,0.3,0.29,-0.19,0.3,0.14,-0.67,0.06,-0.14,1560
"1561",NA,0.31,0.31,-0.31,0.34,0.21,-0.65,0.17,-0.11,1561
"1562",NA,0.32,0.33,-0.41,0.38,0.29,-0.62,0.29,-0.05,1562
"1563",NA,0.33,0.36,-0.47,0.4,0.37,-0.6,0.42,0.02,1563
"1564",NA,0.35,0.39,-0.49,0.41,0.43,-0.58,0.54,0.09,1564
"1565",NA,0.37,0.41,-0.46,0.38,0.46,-0.57,0.66,0.14,1565
"1566",NA,0.39,0.42,-0.39,0.31,0.43,-0.56,0.76,0.16,1566
"1567",NA,0.41,0.41,-0.25,0.2,0.35,-0.55,0.83,0.16,1567
"1568",NA,0.42,0.4,-0.08,0.05,0.22,-0.55,0.88,0.12,1568
"1569",NA,0.42,0.38,0.11,-0.13,0.05,-0.56,0.91,0.07,1569
"1570",NA,0.41,0.36,0.3,-0.31,-0.14,-0.56,0.92,0.01,1570
"1571",NA,0.38,0.34,0.47,-0.5,-0.33,-0.58,0.91,-0.05,1571
"1572",NA,0.33,0.32,0.6,-0.67,-0.5,-0.59,0.9,-0.1,1572
"1573",NA,0.25,0.3,0.67,-0.81,-0.66,-0.6,0.89,-0.13,1573
"1574",NA,0.15,0.3,0.67,-0.92,-0.77,-0.62,0.87,-0.14,1574
"1575",NA,0.03,0.3,0.61,-1,-0.85,-0.64,0.85,-0.12,1575
"1576",NA,-0.1,0.31,0.51,-1.05,-0.9,-0.66,0.82,-0.09,1576
"1577",NA,-0.24,0.32,0.39,-1.09,-0.92,-0.68,0.79,-0.04,1577
"1578",NA,-0.37,0.32,0.26,-1.11,-0.93,-0.7,0.76,0.02,1578
"1579",NA,-0.48,0.32,0.14,-1.13,-0.93,-0.72,0.72,0.08,1579
"1580",NA,-0.57,0.31,0.06,-1.15,-0.92,-0.73,0.67,0.15,1580
"1581",NA,-0.64,0.28,0.03,-1.18,-0.91,-0.75,0.61,0.2,1581
"1582",NA,-0.67,0.25,0.04,-1.21,-0.9,-0.77,0.55,0.26,1582
"1583",NA,-0.68,0.21,0.07,-1.24,-0.9,-0.78,0.48,0.3,1583
"1584",NA,-0.68,0.17,0.12,-1.26,-0.89,-0.8,0.41,0.34,1584
"1585",NA,-0.66,0.14,0.18,-1.27,-0.88,-0.81,0.34,0.37,1585
"1586",NA,-0.64,0.11,0.23,-1.26,-0.87,-0.82,0.27,0.39,1586
"1587",NA,-0.61,0.1,0.25,-1.22,-0.87,-0.83,0.19,0.4,1587
"1588",NA,-0.58,0.1,0.25,-1.15,-0.86,-0.84,0.12,0.4,1588
"1589",NA,-0.56,0.12,0.22,-1.07,-0.85,-0.85,0.05,0.39,1589
"1590",NA,-0.54,0.14,0.18,-0.98,-0.84,-0.86,-0.03,0.38,1590
"1591",NA,-0.52,0.16,0.12,-0.89,-0.83,-0.87,-0.12,0.36,1591
"1592",NA,-0.51,0.19,0.05,-0.81,-0.83,-0.88,-0.21,0.35,1592
"1593",NA,-0.49,0.21,-0.02,-0.76,-0.83,-0.88,-0.32,0.34,1593
"1594",NA,-0.48,0.22,-0.09,-0.75,-0.83,-0.89,-0.44,0.33,1594
"1595",NA,-0.47,0.22,-0.15,-0.78,-0.84,-0.89,-0.58,0.33,1595
"1596",NA,-0.46,0.21,-0.2,-0.84,-0.86,-0.89,-0.72,0.34,1596
"1597",NA,-0.46,0.19,-0.23,-0.9,-0.88,-0.89,-0.87,0.35,1597
"1598",NA,-0.45,0.17,-0.26,-0.96,-0.91,-0.88,-1,0.34,1598
"1599",NA,-0.45,0.16,-0.26,-0.97,-0.94,-0.88,-1.11,0.32,1599
"1600",NA,-0.45,0.15,-0.26,-0.94,-0.98,-0.87,-1.19,0.29,1600
"1601",NA,-0.45,0.15,-0.23,-0.82,-1.03,-0.87,-1.23,0.22,1601
"1602",NA,-0.45,0.17,-0.19,-0.63,-1.09,-0.86,-1.23,0.12,1602
"1603",NA,-0.45,0.2,-0.14,-0.37,-1.14,-0.85,-1.18,0,1603
"1604",NA,-0.44,0.24,-0.07,-0.08,-1.2,-0.85,-1.09,-0.13,1604
"1605",NA,-0.43,0.28,0.01,0.2,-1.25,-0.84,-0.98,-0.25,1605
"1606",NA,-0.41,0.32,0.11,0.45,-1.29,-0.83,-0.84,-0.36,1606
"1607",NA,-0.38,0.36,0.21,0.61,-1.32,-0.83,-0.69,-0.45,1607
